日期,收盘,
2013-04-24,1405.00 ,
2013-04-25,1423.50 ,
2013-04-26,1429.75 ,
2013-04-29,1472.00 ,
2013-04-30,1468.50 ,
2013-05-01,1438.00 ,
2013-05-02,1446.00 ,
2013-05-03,1454.00 ,
2013-05-06,1447.00 ,
2013-05-07,1463.75 ,
2013-05-08,1477.00 ,
2013-05-09,1493.00 ,
2013-05-10,1489.25 ,
2013-05-13,1523.00 ,
2013-05-14,1525.00 ,
2013-05-15,1413.50 ,
2013-05-16,1428.50 ,
2013-05-17,1448.75 ,
2013-05-20,1463.50 ,
2013-05-21,1477.00 ,
2013-05-22,1494.50 ,
2013-05-23,1495.00 ,
2013-05-24,1473.00 ,
2013-05-28,1508.00 ,
2013-05-29,1503.00 ,
2013-05-30,1496.00 ,
2013-05-31,1510.50 ,
2013-06-03,1531.00 ,
2013-06-04,1528.50 ,
2013-06-05,1532.00 ,
2013-06-06,1530.00 ,
2013-06-07,1527.00 ,
2013-06-10,1514.00 ,
2013-06-11,1540.00 ,
2013-06-12,1538.00 ,
2013-06-13,1511.00 ,
2013-06-14,1516.50 ,
2013-06-17,1511.00 ,
2013-06-18,1511.50 ,
2013-06-19,1523.00 ,
2013-06-20,1500.00 ,
2013-06-21,1491.00 ,
2013-06-24,1514.00 ,
2013-06-25,1525.50 ,
2013-06-26,1532.50 ,
2013-06-27,1548.00 ,
2013-06-28,1561.00 ,
2013-07-01,1575.00 ,
2013-07-02,1573.00 ,
2013-07-03,1585.00 ,
2013-07-05,1590.00 ,
2013-07-08,1613.00 ,
2013-07-09,1612.00 ,
2013-07-10,1594.00 ,
2013-07-11,1603.50 ,
2013-07-12,1574.25 ,
2013-07-15,1452.00 ,
2013-07-16,1476.00 ,
2013-07-17,1478.00 ,
2013-07-18,1467.00 ,
2013-07-19,1489.00 ,
2013-07-22,1519.50 ,
2013-07-23,1460.00 ,
2013-07-24,1395.00 ,
2013-07-25,1352.00 ,
2013-07-26,1350.00 ,
2013-07-29,1368.00 ,
2013-07-30,1349.00 ,
2013-07-31,1365.00 ,
2013-08-01,1357.00 ,
2013-08-02,1335.00 ,
2013-08-05,1329.00 ,
2013-08-06,1321.00 ,
2013-08-07,1327.75 ,
2013-08-08,1350.50 ,
2013-08-09,1341.25 ,
2013-08-12,1371.75 ,
2013-08-13,1358.00 ,
2013-08-14,1368.00 ,
2013-08-15,1294.00 ,
2013-08-16,1282.00 ,
2013-08-19,1322.00 ,
2013-08-20,1309.00 ,
2013-08-21,1330.00 ,
2013-08-22,1325.00 ,
2013-08-23,1364.00 ,
2013-08-26,1431.00 ,
2013-08-27,1413.00 ,
2013-08-28,1422.00 ,
2013-08-29,1430.00 ,
2013-08-30,1422.50 ,
2013-09-03,1435.00 ,
2013-09-04,1392.00 ,
2013-09-05,1422.75 ,
2013-09-06,1431.00 ,
2013-09-09,1410.00 ,
2013-09-10,1405.00 ,
2013-09-11,1403.50 ,
2013-09-12,1420.00 ,
2013-09-13,1495.00 ,
2013-09-16,1348.50 ,
2013-09-17,1341.50 ,
2013-09-18,1349.50 ,
2013-09-19,1341.00 ,
2013-09-20,1316.50 ,
2013-09-23,1307.00 ,
2013-09-24,1312.00 ,
2013-09-25,1322.00 ,
2013-09-26,1318.00 ,
2013-09-27,1319.00 ,
2013-09-30,1281.00 ,
2013-10-01,1265.00 ,
2013-10-02,1274.50 ,
2013-10-03,1288.00 ,
2013-10-04,1296.00 ,
2013-10-07,1295.50 ,
2013-10-08,1288.00 ,
2013-10-09,1287.50 ,
2013-10-10,1288.50 ,
2013-10-11,1267.50 ,
2013-10-14,1272.50 ,
2013-10-15,1267.25 ,
2013-10-16,1277.50 ,
2013-10-17,1292.25 ,
2013-10-18,1291.25 ,
2013-10-21,1302.00 ,
2013-10-22,1299.50 ,
2013-10-23,1309.50 ,
2013-10-24,1309.75 ,
2013-10-25,1300.50 ,
2013-10-28,1270.50 ,
2013-10-29,1278.50 ,
2013-10-30,1286.00 ,
2013-10-31,1280.50 ,
2013-11-01,1266.00 ,
2013-11-04,1262.00 ,
2013-11-05,1258.00 ,
2013-11-06,1264.00 ,
2013-11-07,1275.00 ,
2013-11-08,1300.00 ,
2013-11-11,1311.00 ,
2013-11-12,1320.50 ,
2013-11-13,1321.00 ,
2013-11-14,1323.25 ,
2013-11-15,1280.00 ,
2013-11-18,1289.00 ,
2013-11-19,1278.50 ,
2013-11-20,1276.50 ,
2013-11-21,1292.50 ,
2013-11-22,1318.50 ,
2013-11-25,1328.50 ,
2013-11-26,1328.75 ,
2013-11-27,1316.00 ,
2013-11-29,1338.00 ,
2013-12-02,1321.25 ,
2013-12-03,1319.50 ,
2013-12-04,1328.25 ,
2013-12-05,1327.50 ,
2013-12-06,1326.50 ,
2013-12-09,1343.75 ,
2013-12-10,1338.00 ,
2013-12-11,1343.50 ,
2013-12-12,1323.75 ,
2013-12-13,1327.25 ,
2013-12-16,1336.75 ,
2013-12-17,1344.50 ,
2013-12-18,1324.50 ,
2013-12-19,1326.00 ,
2013-12-20,1338.00 ,
2013-12-23,1329.00 ,
2013-12-24,1333.00 ,
2013-12-26,1318.75 ,
2013-12-27,1330.50 ,
2013-12-30,1328.25 ,
2013-12-31,1311.00 ,
2014-01-02,1286.00 ,
2014-01-03,1290.00 ,
2014-01-06,1297.25 ,
2014-01-07,1300.00 ,
2014-01-08,1300.00 ,
2014-01-09,1297.00 ,
2014-01-10,1304.75 ,
2014-01-13,1327.00 ,
2014-01-14,1339.00 ,
2014-01-15,1317.00 ,
2014-01-16,1314.00 ,
2014-01-17,1317.50 ,
2014-01-21,1280.50 ,
2014-01-22,1281.00 ,
2014-01-23,1275.25 ,
2014-01-24,1284.00 ,
2014-01-27,1288.25 ,
2014-01-28,1285.50 ,
2014-01-29,1268.75 ,
2014-01-30,1273.00 ,
2014-01-31,1283.75 ,
2014-02-03,1291.75 ,
2014-02-04,1312.50 ,
2014-02-05,1315.50 ,
2014-02-06,1325.50 ,
2014-02-07,1330.50 ,
2014-02-10,1325.00 ,
2014-02-11,1336.00 ,
2014-02-12,1324.00 ,
2014-02-13,1342.25 ,
2014-02-14,1341.00 ,
2014-02-18,1362.50 ,
2014-02-19,1354.00 ,
2014-02-20,1358.50 ,
2014-02-21,1372.00 ,
2014-02-24,1385.50 ,
2014-02-25,1398.00 ,
2014-02-26,1406.00 ,
2014-02-27,1391.00 ,
2014-02-28,1413.00 ,
2014-03-03,1409.75 ,
2014-03-04,1417.00 ,
2014-03-05,1414.00 ,
2014-03-06,1435.00 ,
2014-03-07,1447.00 ,
2014-03-10,1421.00 ,
2014-03-11,1413.75 ,
2014-03-12,1382.00 ,
2014-03-13,1390.00 ,
2014-03-14,1385.00 ,
2014-03-17,1392.00 ,
2014-03-18,1417.00 ,
2014-03-19,1431.50 ,
2014-03-20,1434.00 ,
2014-03-21,1409.00 ,
2014-03-24,1425.50 ,
2014-03-25,1427.50 ,
2014-03-26,1439.00 ,
2014-03-27,1437.00 ,
2014-03-28,1435.00 ,
2014-03-31,1462.00 ,
2014-04-01,1483.50 ,
2014-04-02,1460.50 ,
2014-04-03,1473.50 ,
2014-04-04,1470.00 ,
2014-04-07,1462.50 ,
2014-04-08,1481.50 ,
2014-04-09,1494.00 ,
2014-04-10,1480.00 ,
2014-04-11,1464.50 ,
2014-04-14,1476.50 ,
2014-04-15,1500.50 ,
2014-04-16,1518.00 ,
2014-04-17,1516.00 ,
2014-04-21,1498.50 ,
2014-04-22,1480.00 ,
